secid,symbol,date,exdate,cp_flag,strike_price,impl_volatility,mid_price,under_price
108105.0,SPQ.WP,2008-09-30,2008-11-22,P,1080000.0,0.380062,28.7,1166.36
108105.0,SPQ.WR,2008-09-24,2008-11-22,P,1090000.0,0.347145,24.75,1185.87
108105.0,SPQ.WR,2008-09-25,2008-11-22,P,1090000.0,0.339813,18.3,1209.18
108105.0,SPQ.WR,2008-09-26,2008-11-22,P,1090000.0,0.35564,19.2,1213.27
108105.0,SPQ.WR,2008-09-29,2008-11-22,P,1090000.0,0.361785,50.8,1106.42
108105.0,SPQ.WR,2008-09-30,2008-11-22,P,1090000.0,0.375077,31.2,1166.36
108105.0,SPQ.WT,2008-09-24,2008-11-22,P,1000000.0,0.387496,10.7,1185.87
108105.0,SPQ.WT,2008-09-25,2008-11-22,P,1000000.0,0.377827,7.35,1209.18
108105.0,SPQ.WT,2008-09-26,2008-11-22,P,1000000.0,0.393875,7.95,1213.27
108105.0,SPQ.WT,2008-09-29,2008-11-22,P,1000000.0,0.421754,26.0,1106.42
108105.0,SPQ.WT,2008-09-30,2008-11-22,P,1000000.0,0.425975,14.8,1166.36
108105.0,SPT.JL,2008-09-17,2008-10-18,C,1160000.0,0.354087,44.7,1156.39
108105.0,SPT.JN,2008-09-17,2008-10-18,C,1170000.0,0.350059,39.65,1156.39
108105.0,SPT.JO,2008-09-17,2008-10-18,C,1175000.0,0.348398,37.3,1156.39
108105.0,SPT.JP,2008-09-17,2008-10-18,C,1180000.0,0.339441,34.1,1156.39
108105.0,SPT.JQ,2008-09-17,2008-10-18,C,1185000.0,0.335971,31.7,1156.39
108105.0,SPT.JR,2008-09-17,2008-10-18,C,1190000.0,0.334145,29.6,1156.39
108105.0,SPT.JS,2008-09-17,2008-10-18,C,1195000.0,0.3308,27.4,1156.39
108105.0,SPT.KD,2008-09-29,2008-11-22,C,1120000.0,0.474226,73.4,1106.42
108105.0,SPT.KE,2008-09-29,2008-11-22,C,1125000.0,0.471638,70.8,1106.42
108105.0,SPT.KH,2008-09-29,2008-11-22,C,1140000.0,0.459683,62.6,1106.42
108105.0,SPT.KI,2008-09-29,2008-11-22,C,1145000.0,0.455892,60.0,1106.42
108105.0,SPT.KJ,2008-09-29,2008-11-22,C,1150000.0,0.449355,57.0,1106.42
108105.0,SPT.KK,2008-09-29,2008-11-22,C,1155000.0,0.447965,54.9,1106.42
108105.0,SPT.KL,2008-09-29,2008-11-22,C,1160000.0,0.443204,52.3,1106.42
108105.0,SPT.KM,2008-09-29,2008-11-22,C,1165000.0,0.439947,50.0,1106.42
108105.0,SPT.KN,2008-09-29,2008-11-22,C,1170000.0,0.436356,47.7,1106.42
108105.0,SPT.KN,2008-09-30,2008-11-22,C,1170000.0,0.353253,60.6,1166.36
108105.0,SPT.KO,2008-09-29,2008-11-22,C,1175000.0,0.437734,46.25,1106.42
108105.0,SPT.KO,2008-09-30,2008-11-22,C,1175000.0,0.346081,57.05,1166.36
108105.0,SPT.KP,2008-09-29,2008-11-22,C,1180000.0,0.430649,43.5,1106.42
108105.0,SPT.KP,2008-09-30,2008-11-22,C,1180000.0,0.348355,55.2,1166.36
108105.0,SPT.KQ,2008-09-29,2008-11-22,C,1185000.0,0.42728,41.4,1106.42
108105.0,SPT.KQ,2008-09-30,2008-11-22,C,1185000.0,0.346508,52.7,1166.36
108105.0,SPT.KR,2008-09-24,2008-11-22,C,1190000.0,0.316235,58.4,1185.87
108105.0,SPT.KR,2008-09-29,2008-11-22,C,1190000.0,0.424196,39.4,1106.42
108105.0,SPT.KR,2008-09-30,2008-11-22,C,1190000.0,0.344287,50.2,1166.36
108105.0,SPT.KS,2008-09-24,2008-11-22,C,1195000.0,0.313628,55.6,1185.87
108105.0,SPT.KS,2008-09-29,2008-11-22,C,1195000.0,0.420101,37.3,1106.42
108105.0,SPT.KS,2008-09-30,2008-11-22,C,1195000.0,0.341687,47.7,1166.36
108105.0,SPT.VA,2008-09-17,2008-10-18,P,1105000.0,0.372167,25.6,1156.39
108105.0,SPT.VA,2008-09-18,2008-10-18,P,1105000.0,0.38718,14.1,1206.51
108105.0,SPT.VA,2008-09-19,2008-10-18,P,1105000.0,0.412609,8.3,1255.08
108105.0,SPT.VA,2008-09-22,2008-10-18,P,1105000.0,0.398271,12.4,1207.09
108105.0,SPT.VB,2008-09-16,2008-10-18,P,1110000.0,0.340143,10.9,1213.6
108105.0,SPT.VB,2008-09-17,2008-10-18,P,1110000.0,0.368935,27.0,1156.39
108105.0,SPT.VB,2008-09-18,2008-10-18,P,1110000.0,0.385852,15.1,1206.51
108105.0,SPT.VB,2008-09-19,2008-10-18,P,1110000.0,0.394656,7.8,1255.08
108105.0,SPT.VB,2008-09-22,2008-10-18,P,1110000.0,0.395197,13.2,1207.09
108105.0,SPT.VC,2008-09-18,2008-10-18,P,1115000.0,0.380827,15.8,1206.51
108105.0,SPT.VC,2008-09-19,2008-10-18,P,1115000.0,0.390268,8.2,1255.08
108105.0,SPT.VC,2008-09-22,2008-10-18,P,1115000.0,0.389256,13.8,1207.09
108105.0,SPT.VD,2008-09-16,2008-10-18,P,1120000.0,0.336,12.55,1213.6
108105.0,SPT.VD,2008-09-17,2008-10-18,P,1120000.0,0.363276,30.1,1156.39
108105.0,SPT.VD,2008-09-18,2008-10-18,P,1120000.0,0.378474,16.8,1206.51
108105.0,SPT.VD,2008-09-19,2008-10-18,P,1120000.0,0.386985,8.7,1255.08
108105.0,SPT.VD,2008-09-22,2008-10-18,P,1120000.0,0.389714,15.0,1207.09
108105.0,SPT.VE,2008-09-16,2008-10-18,P,1125000.0,0.332871,13.35,1213.6
108105.0,SPT.VE,2008-09-17,2008-10-18,P,1125000.0,0.369725,32.9,1156.39
108105.0,SPT.VE,2008-09-18,2008-10-18,P,1125000.0,0.375598,17.8,1206.51
