,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
49,108105.0,2017-06-26,SPX 170818C1900000,1,2017-08-18,2017-05-09,C,1900000.0,534.7,540.5,0.0,103.0,0.306343,0.983933,0.000122,31.77689,-14.33533,115666514.0,1.0,0,,
50,108105.0,2017-06-26,SPX 170818C1910000,1,2017-08-18,,C,1910000.0,524.7,530.5,0.0,0.0,0.300112,0.983836,0.000126,31.9745,-13.97814,115843553.0,1.0,0,,
51,108105.0,2017-06-26,SPX 170818C1920000,1,2017-08-18,,C,1920000.0,514.5,520.3,0.0,0.0,0.287366,0.985319,0.000119,28.92744,-9.586121,115843554.0,1.0,0,,
52,108105.0,2017-06-26,SPX 170818C1925000,1,2017-08-18,,C,1925000.0,509.8,515.6,0.0,0.0,0.293849,0.982912,0.000136,33.84192,-15.40459,115666515.0,1.0,0,,
53,108105.0,2017-06-26,SPX 170818C1930000,1,2017-08-18,,C,1930000.0,504.8,510.8,0.0,0.0,0.29364,0.982086,0.000143,35.49254,-17.15456,115843555.0,1.0,0,,
54,108105.0,2017-06-26,SPX 170818C1940000,1,2017-08-18,,C,1940000.0,494.9,500.6,0.0,0.0,0.286049,0.982337,0.000144,34.9917,-15.83188,115843556.0,1.0,0,,
55,108105.0,2017-06-26,SPX 170818C1950000,1,2017-08-18,2017-05-02,C,1950000.0,484.7,490.5,0.0,0.0,0.275505,0.983421,0.000141,32.81426,-12.54758,115666516.0,1.0,0,,
56,108105.0,2017-06-26,SPX 170818C1955000,1,2017-08-18,,C,1955000.0,480.1,486.0,0.0,0.0,0.284816,0.979785,0.000166,40.0084,-20.91726,116206392.0,1.0,0,,
57,108105.0,2017-06-26,SPX 170818C1960000,1,2017-08-18,,C,1960000.0,475.1,481.0,0.0,0.0,0.281733,0.979691,0.000168,40.19064,-20.72995,115843557.0,1.0,0,,
58,108105.0,2017-06-26,SPX 170818C1965000,1,2017-08-18,,C,1965000.0,469.8,475.6,0.0,0.0,0.269347,0.982411,0.000153,34.84436,-13.96188,116206393.0,1.0,0,,
59,108105.0,2017-06-26,SPX 170818C1970000,1,2017-08-18,,C,1970000.0,465.2,471.1,0.0,0.0,0.27801,0.978719,0.000179,42.06195,-22.17051,115843558.0,1.0,0,,
60,108105.0,2017-06-26,SPX 170818C1975000,1,2017-08-18,,C,1975000.0,459.9,465.7,0.0,0.0,0.266077,0.981434,0.000163,36.78496,-15.51412,115666517.0,1.0,0,,
