,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
623,108105.0,2017-12-19,SPXW 180216C2695000,1,2018-02-16,2017-12-19,C,2695000.0,29.8,30.2,22.0,57.0,0.084501,0.44932,0.004373,422.1597,-113.7561,118271686.0,1.0,0,,
624,108105.0,2017-12-19,SPXW 180216C2700000,1,2018-02-16,2017-12-19,C,2700000.0,27.1,27.4,23.0,1310.0,0.083009,0.426173,0.004411,418.3453,-110.7199,117778824.0,1.0,0,,
625,108105.0,2017-12-19,SPXW 180216C2705000,1,2018-02-16,2017-12-19,C,2705000.0,24.6,24.9,5.0,303.0,0.081827,0.402892,0.004418,413.0324,-107.7333,118271687.0,1.0,0,,
626,108105.0,2017-12-19,SPXW 180216C2710000,1,2018-02-16,2017-12-19,C,2710000.0,22.2,22.4,51.0,95.0,0.080467,0.379041,0.004416,406.0337,-104.1271,117935373.0,1.0,0,,
627,108105.0,2017-12-19,SPXW 180216C2715000,1,2018-02-16,2017-12-19,C,2715000.0,19.9,20.2,92.0,32.0,0.079287,0.355226,0.004387,397.4477,-100.4079,118271688.0,1.0,0,,
628,108105.0,2017-12-19,SPXW 180216C2720000,1,2018-02-16,2017-12-19,C,2720000.0,17.8,18.0,52.0,2000.0,0.078034,0.331152,0.004342,387.1106,-96.2308,117935374.0,1.0,0,,
629,108105.0,2017-12-19,SPXW 180216C2725000,1,2018-02-16,2017-12-19,C,2725000.0,15.8,16.1,15.0,385.0,0.076963,0.307486,0.004268,375.2806,-91.98731,117778825.0,1.0,0,,
630,108105.0,2017-12-19,SPXW 180216C2730000,1,2018-02-16,2017-12-19,C,2730000.0,14.0,14.3,52.0,272.0,0.07595,0.284154,0.004171,361.948,-87.53044,117935375.0,1.0,0,,
631,108105.0,2017-12-19,SPXW 180216C2735000,1,2018-02-16,2017-12-19,C,2735000.0,12.4,12.6,10.0,59.0,0.075002,0.261335,0.004052,347.2453,-82.90636,118271689.0,1.0,0,,
632,108105.0,2017-12-19,SPXW 180216C2740000,1,2018-02-16,2017-12-19,C,2740000.0,10.9,11.1,84.0,453.0,0.07413,0.23922,0.003912,331.3609,-78.17481,117935376.0,1.0,0,,
633,108105.0,2017-12-19,SPXW 180216C2745000,1,2018-02-16,2017-12-19,C,2745000.0,9.5,9.8,15.0,46.0,0.073352,0.218017,0.003753,314.5478,-73.41048,118271690.0,1.0,0,,
634,108105.0,2017-12-19,SPXW 180216C2750000,1,2018-02-16,2017-12-19,C,2750000.0,8.3,8.6,109.0,6285.0,0.072692,0.19795,0.003578,297.1323,-68.70435,117778826.0,1.0,0,,
635,108105.0,2017-12-19,SPXW 180216C2755000,1,2018-02-16,2017-12-19,C,2755000.0,7.3,7.5,49.0,48.0,0.072185,0.179262,0.003389,279.5211,-64.16477,118271691.0,1.0,0,,
636,108105.0,2017-12-19,SPXW 180216C2760000,1,2018-02-16,2017-12-19,C,2760000.0,6.3,6.6,15.0,142.0,0.071689,0.161546,0.003193,261.5078,-59.6013,117935377.0,1.0,0,,
637,108105.0,2017-12-19,SPXW 180216C2765000,1,2018-02-16,2017-12-19,C,2765000.0,5.5,5.8,9.0,60.0,0.071428,0.145634,0.002992,244.1616,-55.43054,118271692.0,1.0,0,,
638,108105.0,2017-12-19,SPXW 180216C2770000,1,2018-02-16,2017-12-19,C,2770000.0,4.8,5.0,15.0,99.0,0.071039,0.13029,0.002788,226.3115,-51.08557,117935378.0,1.0,0,,
639,108105.0,2017-12-19,SPXW 180216C2775000,1,2018-02-16,2017-12-19,C,2775000.0,4.2,4.4,24.0,261.0,0.070991,0.117125,0.00259,210.0517,-47.37069,117778827.0,1.0,0,,
640,108105.0,2017-12-19,SPXW 180216C2780000,1,2018-02-16,2017-12-19,C,2780000.0,3.7,3.9,7.0,139.0,0.071138,0.105576,0.002399,195.0133,-44.05879,117935379.0,1.0,0,,
641,108105.0,2017-12-19,SPXW 180216C2785000,1,2018-02-16,2017-12-18,C,2785000.0,3.2,3.4,0.0,65.0,0.071,0.09403,0.002209,179.1963,-40.39724,118271693.0,1.0,0,,
642,108105.0,2017-12-19,SPXW 180216C2790000,1,2018-02-16,2017-12-19,C,2790000.0,2.9,3.1,15.0,128.0,0.071734,0.086079,0.002047,167.8139,-38.21122,117935380.0,1.0,0,,
643,108105.0,2017-12-19,SPXW 180216C2795000,1,2018-02-16,2017-12-19,C,2795000.0,2.55,2.7,10.0,58.0,0.071801,0.076859,0.001878,154.0725,-35.1073,118271694.0,1.0,0,,
