date,exdate,fit_type,sigmaNTM,prob_40_perc,prob_2sigma,prob_5sigma,put_2sigma,put_5sigma,V,IV,D
2017-01-10,2017-02-17,Spline,0.1071736,0.0006924793945793874,0.005907386927612691,6.259113936998162e-7,0.3624841884144132,1.9089771290212274e-5,0.015894374840826946,0.015270527727410384,0.0006238471134165612
2017-01-11,2017-02-17,"rho=0, grid",0.1052288666666667,0.00024240413821231035,0.0013079056383342076,0.0001724453140714107,0.3741715448064902,0.0870374415936328,0.019543680567153308,0.017360286542317267,0.002183394024836041
2017-01-11,2017-02-17,"rho=0, global",0.1052288666666667,0.00023969680924696508,0.00130738438296054,0.00017103307821066224,0.37386887996101414,0.08832925719808382,0.019701951619796914,0.01743166461878773,0.002270287001009185
2017-01-11,2017-02-17,"VarRho, grid",0.1052288666666667,0.00020069250166418029,0.001309710168278454,0.00013448276246563246,0.3711098401373114,0.10754701462271443,0.026121932257729803,0.020278405371349287,0.005843526886380516
2017-01-11,2017-02-17,"VarRho, global",0.1052288666666667,0.00024244210914982586,0.0013309564061990023,0.00016108659351243452,0.3770819333376316,0.08620851836494658,0.018903670592118088,0.019349118701834644,-0.00044544810971655635
2017-01-11,2017-02-17,Spline,0.1052288666666667,0.0014085035622081374,-0.026863975715647935,5.202236607980041e-6,0.34255571129164153,0.00018724619076159257,0.01550716938255539,0.014798537382752268,0.0007086319998031217
2017-01-12,2017-02-17,"rho=0, grid",0.1046981333333333,0.00024975995407302144,0.001807817073821106,6.0033967957353355e-5,0.37507842942700087,0.008935709920958934,0.01571842319752953,0.015150638880496326,0.0005677843170332035
2017-01-12,2017-02-17,"rho=0, global",0.1046981333333333,0.0002497384490432398,0.0018080317949581278,6.000442944568924e-5,0.3750996060508225,0.008929150858854068,0.015717403126675886,0.015149711529434695,0.0005676915972411909
2017-01-12,2017-02-17,"VarRho, grid",0.1046981333333333,0.0002473341614566466,0.0018325841324806481,5.960910636768458e-5,0.3763451066656831,0.00894128574665326,0.01565439870358854,0.015167838121656755,0.0004865605819317862
2017-01-12,2017-02-17,"VarRho, global",0.1046981333333333,0.0002449842868096721,0.0018342048876116026,6.871381774915712e-5,0.37308880591293914,0.011774300090681006,0.007392423383448013,0.051596036258016405,-0.04420361287456839
2017-01-12,2017-02-17,Spline,0.1046981333333333,0.00010257065820927501,-0.01524067509339892,2.9566272114661198e-8,0.34967338998891506,7.317128930796891e-7,0.014874964722584622,0.014349920588336394,0.0005250441342482277
2017-01-13,2017-02-17,"rho=0, grid",0.10275382222222225,0.00023639609360002778,0.0014947808073483685,0.00015242795140521715,0.36809508423903736,0.06483183780489665,0.018904888914972627,0.017357711393601594,0.0015471775213710334
2017-01-13,2017-02-17,"rho=0, global",0.10275382222222225,0.00023618419619057018,0.0014948312200332653,0.00015233675041523005,0.36806221647762527,0.06491773818718727,0.01891388649599115,0.01736243358709738,0.0015514529088937676
2017-01-13,2017-02-17,"VarRho, grid",0.10275382222222225,0.0002413216832865751,0.0015155980173492134,0.00014626502993176586,0.3725373969398227,0.06189088921539221,0.017549944242123763,0.019095547004853428,-0.0015456027627296642
2017-01-13,2017-02-17,"VarRho, global",0.10275382222222225,0.00024213538223893808,0.001516676844280917,0.00014645663311495163,0.3727819576659428,0.061488536465234556,0.017477707809962526,0.01912441136911926,-0.0016467035591567342
2017-01-13,2017-02-17,Spline,0.10275382222222225,5.456180056770326e-6,0.008675683706145467,4.874932035085931e-5,0.388635027528208,0.002156901772130175,0.015208534758087124,0.014485008551252426,0.0007235262068346973
2017-01-17,2017-02-17,"rho=0, grid",0.10501378260869566,0.00023074476254806285,0.0016952200531921827,6.249524425750602e-5,0.34355711200974604,0.010220959916261207,0.017582079676262397,0.016881313684285047,0.00070076599197735
2017-01-17,2017-02-17,"rho=0, global",0.10501378260869566,0.00023074478705939933,0.0016952275321430856,6.249283213379043e-5,0.34355868724171756,0.010220280337776833,0.017581976289784383,0.016881222388058472,0.0007007539017259111
2017-01-17,2017-02-17,"VarRho, grid",0.10501378260869566,0.00022442550839116678,0.001739547811225241,6.358802256359787e-5,0.34577914929850984,0.01119306633600467,0.013656122337137092,0.03313004899415777,-0.01947392665702068
2017-01-17,2017-02-17,"VarRho, global",0.10501378260869566,0.0002244044861274847,0.0017397081184957477,6.356016198414635e-5,0.3457833230467191,0.011185213051610104,0.01365493986090157,0.03314934017745804,-0.01949440031655647
2017-01-17,2017-02-17,Spline,0.10501378260869566,0.0001961949126998831,0.0013494373704937964,9.818897532260337e-8,0.32757965779894427,2.6195469813077645e-6,0.015636355372049694,0.01500099219336272,0.0006353631786869748
